measurementInterval,datasetCollector,measurementID,verbatimScientificName,acceptedScientificName,continent,country,verbatimLocality,decimallatitude,decimallongitude,massing_summer_max,massing_summer_max_month,massing_fall_max,massing_fall_max_month,massing_winter_min,massing_winter_min_month,massing_summerY2_max,massing_summerY2_max_month,massing_summer.winter_decrease_mean,massing_fall.winter_decrease_mean,massing_summer.winter_decrease_percent,massing_fall.winter_decrease_percent,massing_winter.summerY2_increase_percent,BCH_summer_max,BCH_summer_max_month,BCH_fall_max,BCH_fall_max_month,BCH_winter_min,BCH_winter_min_month,BCH_summerY2_max,BCH_summerY2_max_month,BCH_summer.winter_decrease_mean,BCH_fall.winter_decrease_mean,BCH_summer.winter_decrease_percent,BCH_fall.winter_decrease_percent,BCH_winter.summerY2_increase_percent,measurementNotes,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
monthly,this study,hawes_1975_fig3b,Sorex obscurus,Sorex pacificus,North America,Canada,"Vancouver, 35 miles E; Maple Ridge, N of; University of British Columbia Research Forest",49.26381,-122.57718,4.846226956,9,5.024839957,10,4.147760775,1,6.554636383,5,-0.698466181,-0.877079182,-0.144125768,-0.17454868,0.580283131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9.081000023,7.82600003,33.32481606,560.4680691,20.22800064,-3.256000042,23.48400068,2.795333366,15.98333343,15.98333343,2.415333331,2239,354,73,49.45271883,934,249,249,790
monthly,this study,heikura_1984_fig18ab,Sorex araneus,Sorex araneus,Europe,Finland,"Oulu administrative district, Tupos",64.866667,25.5,6.854504277,9,6.226963259,10,5.223740111,1,10.53357631,7,-1.630764166,-1.003223149,-0.237911321,-0.161109534,1.016481695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data are averages of grassland and forest populations across multiple years,2.193000056,7.91266652,23.28898864,946.7837391,18.77599907,-15.19999981,33.97599888,14.2706666,-4.553999806,14.2706666,-9.260666529,491,65,24,33.94445977,180,76,180,93
monthly,this study,heikura_1984_fig18cd,Sorex araneus,Sorex araneus,Europe,Finland,"Oulu administrative district, Muhos",64.83333,26.08333,7.065705226,9,6.279980491,10,5.286393309,1,10.28947371,6,-1.779311918,-0.993587183,-0.251823684,-0.158215011,0.946407146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data are averages of grassland and forest populations across multiple years,1.986166755,8.351666749,24.040491,948.5288655,18.90800095,-15.83199978,34.74000073,14.12666686,-4.66933321,14.12666686,-9.46999987,534,71,25,33.1264875,194,80,194,102
monthly,this study,heikura_1984_fig18ef,Sorex araneus,Sorex araneus,Europe,Finland,"Oulu administrative district, Paljakka",64.66667,28.08333,7.704044727,9,6.885931828,10,6.025303777,1,10.90767876,7,-1.678740949,-0.860628051,-0.217903843,-0.124983528,0.810311838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data are averages of grassland and forest populations across multiple years,1.012333353,6.576666713,20.29334335,932.8274937,16.92000008,-15.48799992,32.40799999,11.35866674,-5.623333414,13.09800021,-10.12933334,709,88,33,29.70055341,241,109,235,137
monthly,this study,hooven_1975_fig2,Sorex vagrans,Sorex vagrans,North America,United States,"Oregon, Willamette Valley",44.72545,-123.07891,3.982163923,6,4.759674453,11,5.3623911,1,6.43083183,4,1.380227178,0.602716647,0.346602301,0.126629805,0.199247073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,11.56350002,11.37833339,43.50846326,546.5008883,23.78800011,-2.364000082,26.15200019,5.552666498,18.31266689,18.50400051,5.139333261,1071,184,14,67.79715694,517,70,70,477
seasonal,this study,hyvarinen_1994_table1b,Sorex minutus,Sorex minutus,Europe,Finland,Joensuu and Rautjärvi,62.610277,29.771098,2.9,9.5,NA,NA,2.2,1.5,NA,NA,-0.7,NA,-0.24137931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.671833284,7.718333438,22.13332555,979.9595817,19.49600029,-15.3760004,34.87200069,15.11333323,-4.339333435,15.11333323,-9.282666842,602,78,31,31.88433374,214,96,214,118
monthly,this study,jameson_1955_fig1,Sorex trowbridgei,Sorex trowbridgii,North America,United States,Sierra Nevada,38.80801,-120.24762,5.089256057,6,5.25677989,10,5.04,12,6.889873751,4,-0.049256057,-0.21677989,-0.00967844,-0.041238152,0.367038443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,winter_min taken for December in this case,6.264333308,14.31399993,46.92499366,641.1972531,22.11199951,-8.392000198,30.50399971,-0.134666681,14.31199996,14.66733321,-0.635999918,1093,198,10,77.21795056,531,46,51,531
monthly,this study,kaikusalo_1994_fig3a,Sorex araneus,Sorex araneus,Europe,Finland,"Loppi, Ojajoki Field Station of the Finnish Forest Research Institute",60.716667,24.45,6.521896503,7,6.253332756,10,5.750342925,3,10.57208573,6,-0.771553578,-0.502989831,-0.118302027,-0.080435481,0.838513957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4.1451667,7.75366661,24.14269005,842.2409615,19.72400093,-12.3920002,32.11600113,13.21800002,-2.440000077,14.91866684,-5.831999997,633,80,33,30.63354182,219,105,212,130
monthly,this study,kaikusalo_1994_fig3b,Sorex araneus,Sorex araneus,Europe,Finland,Sotkamo,64.133333,28.416667,6.615832925,8,6.020243903,10,5.483476602,1,9.95022132,6,-1.132356323,-0.5367673,-0.171158543,-0.089160391,0.814582616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.704333399,7.79999989,22.6796925,969.0433205,18.54800034,-15.84399986,34.3920002,14.1013333,-5.215999896,14.1013333,-10.00733312,633,84,32,33.38603108,226,98,226,115
monthly,this study,kaikusalo_1994_fig3c,Sorex araneus,Sorex araneus,Europe,Finland,"Kilpisjarvi, Kilpisjarvi Field Station ",69.016585,21.0005,7.322947717,6,6.262812679,12,5.840678751,3,10.46973194,7,-1.482268966,-0.422133929,-0.20241425,-0.06740325,0.792553981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-2.76783333,7.937000011,24.21588899,929.4440092,14.5720005,-18.20400047,32.77600098,8.888000091,-9.800000052,8.888000091,-13.42600012,520,83,26,38.04108705,200,83,200,105
monthly,this study,lopez-fuster_1991_table1,Sorex coronatus,Sorex coronatus,Europe,Spain,"northern Iberian Peninsula, Quinto Real (Navarra)",43.04346,-1.47382,7.48,8,8,12,7.87,1,10.36,6,0.39,-0.13,0.052139037,-0.01625,0.31639136,5.38,5,5.19,10,4.92,1,5.12,10,-0.46,-0.27,-0.085501859,-0.052023121,0.040650407,,9.909666603,8.457999895,36.54510872,528.3495931,21.29199982,-1.851999998,23.14399982,4.75000002,16.73199987,16.73199987,3.857999941,1119,117,60,20.90983606,335,202,202,314
monthly,this study,merritt_1995_fig3,Sorex cinereus,Sorex cinereus,North America,United States,"Pennsylvania, [southeastern] Westmoreland Co., biological station of the Carnegie Museum of Natural History",40.16065,-79.27222,NA,NA,3.788835378,11,3.090861787,2,NA,NA,NA,-0.697973591,NA,-0.184218506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data are not age-indexed; extractions restricted to values for individuals of known age,9.275666698,11.62133343,32.29224506,887.9438936,26.04000092,-9.947999954,35.98800087,17.78000021,-1.972000003,19.92133347,-1.972000003,1115,112,71,14.50352686,328,230,322,230
monthly,this study,myrcha_1969_table4a,Sorex araneus,Sorex araneus,Europe,Poland,Kampinoski National Park and Krutn; Piska Primeval Forest,52.916665,21.08333,8.1,7,6.56,10,5.54,2,NA,NA,-2.56,-1.02,-0.316049383,-0.155487805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,7.759833324,8.136333391,26.27675109,812.142222,21.96800041,-8.99600029,30.9640007,17.56733354,-1.146666726,17.56733354,-2.472000063,474,67,22,38.70540865,186,69,186,76
monthly,this study,myrcha_1969_table4b,Sorex minutus,Sorex minutus,Europe,Poland,Kampinoski National Park,52.33333,20.83333,3.52,4,2.83,10,2.52,1,NA,NA,-1,-0.31,-0.284090909,-0.109540636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw values for summer_max are highly variable; summer_max taken for month (4) with highest number of individuals sampled (N=7),8.130166723,8.373000138,27.77298684,776.2918142,22.20800018,-7.940000057,30.14800024,17.57466682,-0.302666704,17.57466682,-1.550000052,488,70,23,38.60852473,190,70,190,79
seasonal,this study,pucek_1963_fig4,Sorex arcticus,Sorex tundrensis,Asia,USSR,Yamal peninsula,68.609,70.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.871470321,7,5.452867027,10.5,NA,NA,5.277508761,6.5,NA,NA,NA,NA,NA,,-8.286666501,8.923333349,19.91282173,1308.66325,15,-29.81199837,44.81199837,8.291333457,-19.08599981,8.370666802,-22.99266593,329,50,17,33.36647843,121,55,113,63
seasonal,this study,pucek_1963_fig5,Sorex caecutiens,Sorex caecutiens,Asia,USSR,,60.87191,98.8506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67209698,7.5,5.000835127,11.5,4.76820399,2,5.19637879,4.5,-0.90389299,-0.232631137,-0.159357817,-0.046518458,0.08979792,,-6.563499838,12.46433282,20.95550187,1700.187477,21.62000084,-37.86000061,59.48000145,13.81000018,-24.5833331,13.81000018,-28.55933285,435,69,15,44.73316961,173,52,173,61
seasonal,this study,pucek_1963_fig6,Sorex unguiculatus,Sorex unguiculatus,Asia,USSR,,50.46421,135.80325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.422465354,8.5,6.032057356,10,5.545330612,1.5,6.174487866,7.5,-0.877134742,-0.486726745,-0.136572904,-0.080690006,0.113457122,,-3.582166745,13.383,26.17752887,1390.128368,21.81200028,-29.31200028,51.12400055,13.54666654,-20.61666679,13.54666654,-20.61666679,731,154,8,86.26936069,407,31,407,31
seasonal,this study,pucek_1963_fig7,Sorex vir,Sorex roboratus,Asia,USSR,,61.73821,114.68617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.120993746,7,5.65055566,10,5.111504191,2,6.282451866,7,-1.009489555,-0.539051469,-0.164922494,-0.095397958,0.22908084,,-7.585333309,11.97133304,19.82271327,1803.63096,21.63599968,-38.75600052,60.3920002,14.13866647,-17.70266643,14.13866647,-30.13466644,337,54,10,53.33712602,150,33,150,46
monthly,this study,pucek_1963_fig8c,Sorex araneus,Sorex araneus,Europe,Poland,Bialowieza National Park,52.75,23.8667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.338127001,6,6.065570249,10,5.349247367,2,5.942032063,6,-0.988879634,-0.716322882,-0.156020798,-0.118096544,0.110816467,,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
monthly,this study,pucek_1963_fig8d,Sorex araneus,Sorex araneus,Europe,Germany,"""North Germany/GDR""",52.123,12.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.034874799,6,5.753970903,10,5.347610637,2,5.748005446,7,-0.687264162,-0.406360266,-0.113882091,-0.070622579,0.07487359,,9.090166698,8.279666682,29.92506264,696.9742336,22.16800118,-5.5,27.66800118,17.86733325,4.464000126,17.86733325,0.721333404,554,60,34,18.78631289,173,111,173,123
monthly,this study,rudd_1955_table1a,Sorex vagrans,Sorex vagrans,North America,United States,"""San Francisco Bay Region"" [9 counties]",37.99151,-122.2323,4.705,6,5.03,12,3.93,1,6.24,5,-0.775,-1.1,-0.164718385,-0.218687873,0.58778626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,14.79200004,13.76533353,53.40368374,445.6983912,26.36800003,0.592000008,25.77600002,9.235333482,19.74466658,20.14400005,9.235333482,698,150,1,93.98109738,386,7,12,386
monthly,this study,rudd_1955_table1b,Sorex ornatus,Sorex ornatus,North America,United States,"""San Francisco Bay Region"" [9 counties]",37.99151,-122.2323,3.91,9,4.75,12,4.17,1,NA,NA,0.26,-0.58,0.066496164,-0.122105263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"massing for all months considered, since sex bias in sampling is prevalent in all months of the dataset",14.79200004,13.76533353,53.40368374,445.6983912,26.36800003,0.592000008,25.77600002,9.235333482,19.74466658,20.14400005,9.235333482,698,150,1,93.98109738,386,7,12,386
monthly,this study,shillito_1963_fig2,Sorex araneus,Sorex araneus,Europe,United Kingdom,"University estate at Exeter, Grassway Wood",50.73849,-3.53858,NA,NA,7.13411973,NA,6.003673096,NA,NA,NA,NA,-1.130446635,NA,-0.158456359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,data are not age-indexed; extractions restricted to values for individuals of known age,10.73366669,6.972000063,38.16509577,421.2504877,19.96000099,1.692000032,18.26800096,6.961333176,14.63600016,16.15933355,6.075999975,876,103,51,24.44686578,288,161,166,279
monthly,this study; Lazaro et al. 2021,hyvarinen_1971_table1a,Sorex araneus,Sorex araneus,Europe,Finland,Oulu district,65.18367,25.91356,7.1,9,6.12,10,5.19,1,9.9,7,-1.91,-0.93,-0.269014085,-0.151960784,0.907514451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.590666604,8.313333356,23.88339813,961.3513531,18.61199951,-16.19600105,34.80800057,13.91466657,-5.341333383,13.91466657,-9.965333541,536,70,25,30.80351723,187,83,187,107
monthly,this study; Lazaro et al. 2021,michielsen_1966_fig4a,Sorex araneus,Sorex araneus,Europe,Netherlands,Haagse Waterleiding Duinen,52.13402,4.34739,7.435410815,9,7.582706886,10,6.586520449,3,12.33187218,5,-0.848890367,-0.996186437,-0.11416859,-0.131376097,0.872289363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9.90380439,6.189492925,30.52280073,523.6264637,19.96956444,-0.308695674,20.27826011,10.82246391,8.675362468,16.36739111,3.750000072,844,98,47,24.81480009,284,160,198,202
monthly,this study; Lazaro et al. 2021,michielsen_1966_fig4b,Sorex minutus,Sorex minutus,Europe,Netherlands,Haagse Waterleiding Duinen,52.13402,4.34739,3.006079585,9,3.021330092,10,2.865743059,1,4.391066853,6,-0.140336526,-0.155587033,-0.046684235,-0.051496205,0.532261184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9.90380439,6.189492925,30.52280073,523.6264637,19.96956444,-0.308695674,20.27826011,10.82246391,8.675362468,16.36739111,3.750000072,844,98,47,24.81480009,284,160,198,202
monthly,this study; Lazaro et al. 2021,pucek_1963_fig1,Sorex araneus,Sorex araneus,Asia,USSR,,56.87194,61.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28273606,6,5.97027579,9,5.23772219,2,5.953189153,6,-1.04501387,-0.7325536,-0.166331016,-0.122700127,0.136598876,presumably identical data presented in pucek_1963_fig8a,2.276333429,9.374666845,22.41670711,1195.333333,22.33600044,-19.48399925,41.8199997,16.74400044,-10.39733339,16.74400044,-12.79399991,476,85,15,55.01859245,217,55,217,64
monthly,this study; Lazaro et al. 2021,pucek_1963_fig8b,Sorex araneus,Sorex araneus,Europe,Bulgaria and Czechoslovakia,"""Bulgarie and Czechoslovakia""",46.47185,20.52927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.854806527,7.5,5.655749137,10,5.317948907,2,5.874574143,6,-0.53685762,-0.33780023,-0.091695194,-0.059726876,0.104669158,presumably identical data presented in pucek_1963_fig3,10.55316669,9.900333444,30.17658408,826.575609,25.51199913,-7.296000004,32.80799913,20.38999971,1.79399997,20.38999971,0.100666682,523,67,28,26.92367489,177,87,177,101
monthly,this study; Ochocinska and Taylor 2003.pdf,mezherin_1964_fig2a,Sorex araneus,Sorex araneus,Europe,Ukraine,,49.30716,31.01846,8.036551687,9,8.235611122,10,6.0835781,2,12.50559325,5,-1.952973587,-2.152033022,-0.243011389,-0.261308237,1.055631249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,7.471500013,8.007666665,23.82950368,925.1155929,22.75200081,-10.85200024,33.60400105,18.59666681,-3.052000033,18.59666681,-4.088666732,571,79,29,33.15988889,214,102,214,117
monthly,this study; Ochocinska and Taylor 2003.pdf,mezherin_1964_fig2b,Sorex araneus,Sorex minutus,Europe,Ukraine,,49.29654,31.045504,3.03141342,9,2.750268371,12,2.439396088,1,4.286850127,6,-0.592017331,-0.310872283,-0.195294158,-0.113033436,0.75734074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,7.436666648,8.037999859,23.80360154,926.8208916,22.79999924,-10.96799946,33.7679987,18.5806667,-3.103333379,18.5806667,-4.144666602,571,79,29,33.02021459,213,102,213,118
seasonal,this study,mclean_fig1,Sorex cinereus,Sorex cinereus,North America,United States,"North Carolina, Yancey County, Pisgah National Forest",35.73863,-82.21479,3.633333,7,3.228947,11,3.159091,1,4.663793,5,-0.474242,-0.069856,-0.130525333,-0.021634297,0.476308533,5.558952,7,5.136789,11,4.917239,1,5.205515,5,-0.641713,-0.21955,-0.115437766,-0.042740708,0.058625582,,10.13833333,10.638,35.19719375,708.6051389,24.94000053,-5.28399992,30.22400045,9.577999947,6.393333187,18.66800022,1.214000026,1463,147,104,9.984888428,399,332,384,336
